Name,Address,Postal_code,City,Phone_number,Email,Headmaster_name,School_admin_name
1ο Γυμνάσιο Ν.Ιωνίας,Αισώπου 1,14232,Αθήνα,2100000000,firstgymn@neaionia.gr,Ιωάννης Παπαδόπουλος,Γιώργος Γεωρίου
2ο Γυμνάσιο Κηφισιάς,Καλαμάτας 42,14532,Αθήνα,2100000001,secondgymn@khfifia.gr,Εμμανουήλ Αλεξίου,Κωνσταντίνος Φουρτούνης
3ο Γυμνάσιο Αμαρουσίου,Μακρυγιάννη 12,15264,Αθήνα,2100000002,thirdgymn@amarousiou.gr,Δημήτρης Κοντός,Γιώργος Μασούρας
1ο Λύκειο Καλλιθέας,Τήνου 17,13258,Αθήνα,2100000003,firstlykeio@kalitheas.gr,Βασίλης Σπανούλης,Βασίλειος Σουρλής
2ο Λύκειο Ζωγράφου,Μοσχονησίων 35,13526,Αθήνα,2100000004,secodlykeio@zwgrafou.gr,Γιαννούλης Λαρετζάκης,Σωκράτης Παπασταθόπουλος
Γενικό Λύκειο Φιλοθέης,Αντιγώνης 2,13452,Αθήνα,2100000005,genlykeio@filothei.gr,Κωνσταντίνος Παπανικολάου,Παναγιώτης Ρέτσος
4ο Λύκειο Θεσσαλονίκης,Νικηταρά 3,21532,Θεσσαλονίκη,2100000006,fourthlykeio@thessaloniki.gr,Γιώργος Πρίντεζης,Αθανάσιος Ανδρούτσος
5ο Λύκειο Πάτρας,Κανάρη 52,32152,Πάτρα,2100000007,fifthlykeio@patra.gr,Κωνσταντίνος Σλούκας,Αλέξανδρος Πασχαλάκης
6ο Λύκειο Ηρακλείου,Ισμήνης 7,45123,Ηράκλειο,2100000008,sixthlykeio@hrakleio.gr,Μιχάλης Λούτζης,Κωνσταντίνος Τζολάκης
2ο Γυμνάσιο Βόλου,Παραποτάμου 8,65412,Βόλος,2100000009,secondgymn@bolos.gr,Γιώργος Παπάς,Κωνσταντίνος Τσιμίκας
3ο Λύκειο Αλεξανδρούπολης,Κολοκοτρώνη 4,75412,Αλεξανδρούπολη,2100000010,thirdlykeio@alexandroupoli.gr,Δημήτρης Διαμαντίδης,Αναστάσιος Μπακασέτας
